genre,level,title,time
Art House & InternationalComedyDramaScience Fiction & FantasySpecial Interest,PG,The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie),15-Sep-72
Drama,R (N/A),The Godfather,24-Mar-72
ClassicsComedyDramaKids & FamilyMusical & Performing Arts,G,Fiddler on the Roof,3-Nov-71
ClassicsComedyRomance,PG,Harold and Maude,20-Dec-71
ClassicsDramaWestern,R,McCabe & Mrs. Miller,24-Jun-71
DramaScience Fiction & Fantasy,PG (some sexuality/nudity),THX 1138,11-Mar-71
ClassicsComedyDrama,PG (N/A),The Sting,1-Dec-73
ClassicsComedyDramaKids & FamilyMusical & Performing ArtsScience Fiction & Fantasy,G,Willy Wonka and the Chocolate Factory,30-Jun-71
ClassicsDramaMystery & SuspenseScience Fiction & Fantasy,"R (adult situations/language, nudity, violence)",A Clockwork Orange,19-Dec-71
ClassicsDramaMystery & Suspense,"R (adult situations/language, nudity, violence)",Dirty Harry,24-Dec-71
Action & AdventureClassicsDrama,"R (adult situations/language, violence)",The French Connection,9-Oct-71
Mystery & SuspenseTelevision,PG,Duel,1-Jan-72
ClassicsDrama,"R (adult situations/language, nudity, violence)",The Last Picture Show,22-Oct-71
ClassicsDramaMusical & Performing Arts,R (adult situations/language),Five Easy Pieces,12-Sep-70
ClassicsDrama,"PG (adult situations/language, violence)",Patton,2-Apr-70
Art House & InternationalDramaMystery & Suspense,R,Le Cercle Rouge,1-Jan-70
Art House & InternationalDrama,R,The Conformist,22-Oct-70
ClassicsWestern,G,True Grit,11-Jun-69
Action & AdventureDrama,R,Easy Rider,1-Jan-69
Art House & InternationalDramaMystery & Suspense,PG,Z,26-Feb-69
ClassicsDrama,R (N/A),Midnight Cowboy,25-May-69
Art House & InternationalDrama,NR,Army of Shadows (L'Armée des ombres),12-Sep-69
ClassicsComedyDramaMusical & Performing Arts,G,Funny Girl,19-Sep-68
Drama,R,Belle de Jour,10-Apr-68
Art House & InternationalClassicsMusical & Performing ArtsRomance,G,The Young Girls of Rochefort (Les Demoiselles de Rochefort),11-Apr-68
Action & AdventureAnimationComedyCult MoviesKids & FamilyMusical & Performing ArtsScience Fiction & Fantasy,G (nothing objectionable),Yellow Submarine,13-Nov-68
Action & AdventureDramaWestern,PG-13 (for western violence and brief sensuality),Once Upon a Time in the West,21-Dec-68
Art House & InternationalClassicsDramaSpecial Interest,NR,Pierrot le Fou (Pierrot Goes Wild) (Crazy Pete),8-Jan-69
ClassicsScience Fiction & Fantasy,G,2001: A Space Odyssey,3-Apr-68
ClassicsHorrorMystery & Suspense,"R (adult situations/language, violence)",Rosemary's Baby,12-Jun-68
Action & AdventureClassicsWestern,PG (N/A),Butch Cassidy and the Sundance Kid,24-Oct-69
Action & AdventureClassicsDrama,R (for violence),Bonnie and Clyde,13-Aug-67
Action & AdventureDramaWestern,"R (adult situations/language, nudity, violence)",The Wild Bunch,18-Jun-69
ClassicsComedyDramaRomance,PG (N/A),The Graduate,21-Dec-67
ClassicsDramaMystery & Suspense,G,In the Heat of the Night,2-Aug-67
ClassicsScience Fiction & Fantasy,G,Planet of the Apes,3-Apr-68
ClassicsDrama,PG,Cool Hand Luke,1-Jan-67
ClassicsComedy,PG,The Producers,1-Jun-68
Art House & InternationalDrama,NR,The Battle of Algiers (La Battaglia di Algeri),20-Sep-67
Drama,NR,Persona,18-Oct-66
Art House & InternationalClassicsDramaRomance,NR,Masculin Feminin,19-Sep-66
ClassicsCult MoviesHorror,"R (violence, language, nudity)",Night of the Living Dead,1-Oct-68
ClassicsDrama,R,Who's Afraid of Virginia Woolf?,22-Jun-66
Art House & InternationalDrama,NR,Au Hasard Balthazar,25-May-66
Western,R,"The Good, the Bad and the Ugly",23-Dec-66
Action & AdventureClassicsDramaMystery & Suspense,PG (N/A),Thunderball,20-Dec-65
ClassicsDramaKids & FamilyMusical & Performing Arts,G,The Sound of Music,2-Mar-65
Art House & InternationalDramaMystery & SuspenseScience Fiction & Fantasy,NR,Alphaville,5-May-65
ComedyDrama,NR,Chimes at Midnight,22-Dec-65
ClassicsDramaHorrorMystery & Suspense,NR,Repulsion,3-Oct-65
Kids & FamilyMusical & Performing Arts,G,My Fair Lady,21-Oct-64
Art House & InternationalComedyDrama,NR,Mafioso,30-Jun-64
Action & AdventureClassicsMystery & Suspense,PG,From Russia With Love,8-Apr-64
Action & AdventureArt House & InternationalClassicsWestern,R,A Fistful of Dollars (Per un Pugno di Dollari),12-Sep-64
Action & AdventureClassicsMystery & Suspense,PG,Goldfinger,17-Sep-64
Art House & InternationalDramaMusical & Performing ArtsRomance,G,The Umbrellas of Cherbourg (Les Parapluies de Cherbourg),16-Dec-64
ClassicsComedyKids & FamilyMusical & Performing ArtsScience Fiction & Fantasy,G,Mary Poppins,26-Aug-64
ClassicsComedyScience Fiction & Fantasy,PG,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb,29-Jan-64
ClassicsComedyMusical & Performing Arts,G,A Hard Day's Night,11-Aug-64
Action & AdventureClassicsDrama,NR,The Great Escape,4-Jul-63
Art House & InternationalClassicsDrama,PG,The Leopard,15-Jul-63
ClassicsHorrorMystery & Suspense,PG-13,The Birds,28-Mar-63
Art House & InternationalDramaScience Fiction & Fantasy,NR,8 1/2,25-Jun-63
Action & AdventureMystery & Suspense,"PG (adult situations/language, nudity, violence)",The Spy Who Loved Me,13-Jul-77
AnimationDramaKids & FamilyScience Fiction & Fantasy,PG,The Lord of the Rings,15-Nov-78
ComedyMusical & Performing ArtsRomance,PG (adult situations/language),Grease,1-Jun-78
Comedy,R (N/A),National Lampoon's Animal House,1-Jun-78
Horror,R,Friday the 13th Part 2,1-May-81
DramaSpecial Interest,PG,Mommie Dearest,18-Sep-81
Action & AdventureKids & FamilyScience Fiction & Fantasy,PG,Superman III,17-Jun-83
Action & AdventureMystery & Suspense,"PG (adult situations/language, violence)",A View to a Kill,24-May-85
Action & AdventureComedyScience Fiction & FantasyRomance,PG,Howard the Duck,1-Aug-86
Action & AdventureScience Fiction & Fantasy,PG,Superman IV: The Quest for Peace,24-Jul-87
DramaRomance,R,Cocktail,29-Jul-88
Action & AdventureScience Fiction & Fantasy,PG (violence),Star Trek V - The Final Frontier,9-Jun-89
Action & AdventureComedyDrama,"R (adult situations/language, nudity, violence)",Tango & Cash,22-Dec-89
Comedy,"R (adult situations/language, nudity, violence)",The Bonfire of the Vanities,21-Dec-90
Action & AdventureKids & FamilyScience Fiction & Fantasy,PG,Hook,11-Dec-91
Action & AdventureComedyKids & Family,PG,Teenage Mutant Ninja Turtles II - The Secret of the Ooze,22-Mar-91
Action & AdventureDramaRomance,PG-13 (violence),Robin Hood: Prince of Thieves,14-Jun-91
Action & AdventureComedyScience Fiction & Fantasy,PG,Bill & Ted's Bogus Journey,19-Jul-91
Comedy,PG-13,The Naked Gun 2 1/2: The Smell of Fear,15-Aug-00
Drama,"R (adult situations/language, nudity)",The Doors,1-Mar-91
ComedyHorrorScience Fiction & Fantasy,PG-13,The Addams Family,22-Nov-91
Science Fiction & Fantasy,PG-13,Dune,16-Mar-98
Action & AdventureDramaKids & FamilyMystery & SuspenseScience Fiction & Fantasy,PG,The Rocketeer,21-Jun-91
Action & AdventureMystery & Suspense,R,Point Break,12-Jul-91
ComedyDrama,PG-13 (violence),Fried Green Tomatoes,27-Dec-91
Action & AdventureDramaMystery & Suspense,R (for language and a scene of sensuality),Backdraft,24-May-91
Action & AdventureMystery & Suspense,R,Road House,19-May-89
DramaRomance,"R (adult situations/language, nudity)",Jungle Fever,7-Jun-91
